,a0,a0err,fitOrder,splineX,splineY
4.0591,0.0008403397462270589,1.7867892055399208e-05,4,4.0591,0.0008403397462270589
4.0595,0.0008422695291337699,1.7912478929039643e-05,4,4.0595,0.0008422695291337699
4.06,0.0008442563798149287,1.7958167935497265e-05,4,4.06,0.0008442563798149287
4.0604,0.0008462984651315605,1.800493065235915e-05,4,4.0604,0.0008462984651315605
4.0608,0.0008484109479955989,1.805306243278713e-05,4,4.0608,0.0008484109479955989
4.0613,0.0008505907856637996,1.8102509977880472e-05,4,4.0613,0.0008505907856637996
4.0617,0.0008528443260028839,1.8153399714980435e-05,4,4.0617,0.0008528443260028839
4.0621,0.0008551851955892068,1.8206030179599544e-05,4,4.0621,0.0008551851955892068
4.0625,0.0008576160296131833,1.8260453188862686e-05,4,4.0625,0.0008576160296131833
4.063,0.0008601382576431505,1.8316680905997068e-05,4,4.063,0.0008601382576431505
4.0634,0.0008627621090819523,1.8374935105814498e-05,4,4.0634,0.0008627621090819523
4.0638,0.0008654978093383033,1.843543898356248e-05,4,4.0638,0.0008654978093383033
4.0643,0.000868343772473696,1.8498132453946474e-05,4,4.0643,0.000868343772473696
4.0647,0.0008713192321020002,1.8563468819687595e-05,4,4.0647,0.0008713192321020002
4.0651,0.0008744215398200059,1.8631342539662625e-05,4,4.0651,0.0008744215398200059
4.0655,0.0008776652320174351,1.870207745437842e-05,4,4.0655,0.0008776652320174351
4.066,0.0008810506938205355,1.8775659467262895e-05,4,4.066,0.0008810506938205355
4.0664,0.0008845986246448776,1.8852584405659927e-05,4,4.0664,0.0008845986246448776
4.0668,0.0008883016104803759,1.8932648533056293e-05,4,4.0668,0.0008883016104803759
4.0673,0.0008921784953323641,1.9016263526217275e-05,4,4.0673,0.0008921784953323641
4.0677,0.0008962388498823091,1.9103624244039022e-05,4,4.0677,0.0008962388498823091
4.0681,0.0009004816182980738,1.9194708332338472e-05,4,4.0681,0.0009004816182980738
4.0685,0.0009049278399271174,1.9289976613742165e-05,4,4.0685,0.0009049278399271174
4.069,0.000909580103206176,1.938948302970529e-05,4,4.069,0.000909580103206176
4.0694,0.0009144484908452917,1.9493429808360426e-05,4,4.0694,0.0009144484908452917
4.0698,0.0009195413910600447,1.9601990786119348e-05,4,4.0698,0.0009195413910600447
4.0703,0.0009248681048519587,1.9715399413169443e-05,4,4.0703,0.0009248681048519587
4.0707,0.0009304441845575731,1.9833939519503616e-05,4,4.0707,0.0009304441845575731
4.0711,0.0009362776140176168,1.9957807604123813e-05,4,4.0711,0.0009362776140176168
4.0715,0.0009423750123564528,2.0087155561718156e-05,4,4.0715,0.0009423750123564528
4.072,0.0009487563556439872,2.02223987533774e-05,4,4.072,0.0009487563556439872
4.0724,0.0009554225474621776,2.0363540679633543e-05,4,4.0724,0.0009554225474621776
4.0728,0.0009623992332149588,2.0511161129267715e-05,4,4.0728,0.0009623992332149588
4.0733,0.0009696814745154247,2.0665109759005293e-05,4,4.0733,0.0009696814745154247
4.0737,0.0009772983710857586,2.082604528772648e-05,4,4.0737,0.0009772983710857586
4.0741,0.0009852605354747196,2.0994202074473236e-05,4,4.0741,0.0009852605354747196
4.0745,0.0009935813826243208,2.1169821841658878e-05,4,4.0745,0.0009935813826243208
4.075,0.0010022794316133844,2.135332038538035e-05,4,4.075,0.0010022794316133844
4.0754,0.0010113758173576901,2.154514671970449e-05,4,4.0754,0.0010113758173576901
4.0758,0.0010208780920474365,2.174546667012155e-05,4,4.0758,0.0010208780920474365
4.0763,0.001030819602154896,2.1954967439282696e-05,4,4.0763,0.001030819602154896
4.0767,0.0010412239803867765,2.2174194390924972e-05,4,4.0767,0.0010412239803867765
4.0771,0.0010521126439970432,2.2403550220906213e-05,4,4.0771,0.0010521126439970432
4.0775,0.0010635133247080366,2.264367190408041e-05,4,4.0775,0.0010635133247080366
4.078,0.0010754561287381224,2.289516505334344e-05,4,4.078,0.0010754561287381224
4.0784,0.001087976811907182,2.3158778242184655e-05,4,4.0784,0.001087976811907182
4.0788,0.0011011157215943467,2.343538824408322e-05,4,4.0788,0.0011011157215943467
4.0793,0.001114902028677787,2.3725605351844997e-05,4,4.0793,0.001114902028677787
4.0797,0.0011293940583140516,2.403068087789839e-05,4,4.0797,0.0011293940583140516
4.0801,0.0011446274189195439,2.4351358160391246e-05,4,4.0801,0.0011446274189195439
4.0805,0.0011606666085330975,2.4688952874495574e-05,4,4.0805,0.0011606666085330975
4.081,0.0011775678120153471,2.5044768276616787e-05,4,4.081,0.0011775678120153471
4.0814,0.001195404787372424,2.542019642242124e-05,4,4.0814,0.001195404787372424
4.0818,0.0012142209959674142,2.5816394731091527e-05,4,4.0818,0.0012142209959674142
4.0823,0.0012341433998636418,2.6235703393114965e-05,4,4.0823,0.0012341433998636418
4.0827,0.0012552123325903642,2.6679305788961992e-05,4,4.0827,0.0012552123325903642
4.0831,0.0012775640825763875,2.7149891277345795e-05,4,4.0831,0.0012775640825763875
4.0835,0.0013012928378734745,2.7649402278365244e-05,4,4.0835,0.0013012928378734745
4.084,0.0013265179683215277,2.818056864927271e-05,4,4.084,0.0013265179683215277
4.0844,0.0013533537354646287,2.8745483819181187e-05,4,4.0844,0.0013533537354646287
4.0848,0.0013819640069080922,2.93477647352421e-05,4,4.0848,0.0013819640069080922
4.0853,0.0014125544688650977,2.999183330944492e-05,4,4.0853,0.0014125544688650977
4.0857,0.0014453060731844697,3.068146746341501e-05,4,4.0857,0.0014453060731844697
4.0861,0.0014803246063636686,3.141849870117843e-05,4,4.0861,0.0014803246063636686
4.0865,0.0015179825464122453,3.221135889252035e-05,4,4.0865,0.0015179825464122453
4.087,0.001558458810908732,3.306307044890543e-05,4,4.087,0.001558458810908732
4.0874,0.001602123399231933,3.398210973413319e-05,4,4.0874,0.001602123399231933
4.0878,0.001649303226023032,3.4974861227121425e-05,4,4.0878,0.001649303226023032
4.0883,0.0017003244364329707,3.604803464142755e-05,4,4.0883,0.0017003244364329707
