,a0,a2,a4,a6,a0_err,a2_err,a4_err,a6_err,Chi2,Pval,Chi2NDF
4.79012,0.000276982704219348,0.00013305228507247928,-0.00012205842235960834,4.8895312836281645e-05,8.401296821221752e-06,1.6143898572762958e-05,2.092586237967206e-05,2.334903013873988e-05,2.240202870324854,0.5240731297998009,0.7467342901082846
4.799919999999999,0.0005778976370831488,0.00028843140623768695,-0.00018542939119566823,3.5905332774461174e-05,1.414024762325354e-05,2.7510857373124634e-05,3.447822866491748e-05,3.9926657159745454e-05,2.436733876209439,0.48683325545368306,0.8122446254031463
4.81003,0.0005065828728066057,0.0002539215557338795,-0.00014286864337197344,5.373951986253935e-05,1.2190931438154032e-05,2.3752708493718062e-05,2.988999250820523e-05,3.4649273238708684e-05,2.253350181553792,0.5215166312193669,0.7511167271845974
4.8121599999999995,0.0003347950473724908,0.0001751978008546951,-9.34094360286113e-05,3.3229469907239005e-05,7.975860729706594e-06,1.5594053941338013e-05,1.95638507395342e-05,2.27006411457224e-05,4.223679199821522,0.2383018154474148,1.4078930666071738
4.81527,0.0002130911748044343,9.485988124056767e-05,-4.619104387715868e-05,2.860355647474203e-05,5.084494240904862e-06,9.927373529989942e-06,1.2602790726056815e-05,1.460345721867299e-05,4.567686657126469,0.20633167146076614,1.5225622190421564
4.82006,0.00010428782236389957,4.210269579174645e-05,-1.8305861586912657e-05,1.888006417444789e-05,2.592560922936315e-06,5.091699784518574e-06,6.479570570259959e-06,7.4784776879141405e-06,6.271321660591211,0.09913067388667796,2.090440553530404
4.82989,7.569617692821664e-05,2.5486445760188506e-05,-1.0545046847169876e-05,6.790664548229028e-06,1.8269684582056056e-06,3.551563775303906e-06,4.608480939321893e-06,5.213129643900356e-06,3.202570567012732,0.3614348151270097,1.0675235223375774
4.85003,8.040741129442907e-05,2.2103365150063105e-05,-2.384908043213854e-05,1.5246828884221893e-05,1.929249184957413e-06,3.606021238414201e-06,4.7396659041454e-06,5.369924647006404e-06,2.150693116495382,0.5417254677950072,0.7168977054984608
4.86629,8.61593493780234e-05,2.127016081537276e-05,-2.871541745000389e-05,2.018935995358257e-05,2.102519837318555e-06,3.874521365385646e-06,5.157710011938362e-06,5.776697809309246e-06,1.6246361575653185,0.653816727076959,0.5415453858551061
4.88989,9.203906900743291e-05,3.332591166232635e-05,-3.027176042492707e-05,1.2429284652658851e-05,2.1647785171883597e-06,4.030396564861825e-06,5.330870452807389e-06,6.03367830062232e-06,5.2800991214433095,0.15239895393537195,1.760033040481103
4.89991,9.806814299587341e-05,3.809579426207819e-05,-3.2038479029060587e-05,1.2637226080270391e-05,2.517996200742382e-06,4.798281484871163e-06,6.243229108655801e-06,7.020108143870135e-06,1.4833446753476216,0.6861196711300228,0.4944482251158739
4.9101300000000005,9.792912781546563e-05,4.5297116799723346e-05,-3.446201248769028e-05,1.3805491003436085e-05,2.486762392890237e-06,4.745228864731988e-06,6.186545335689236e-06,6.9856278430846906e-06,2.7613163305451582,0.4299075895663881,0.920438776848386
4.91996,9.847575357369187e-05,3.643688961768922e-05,-3.3782385668056765e-05,1.5639198014851915e-05,2.6773692961561505e-06,5.078964841129281e-06,6.6760010214778014e-06,7.346378907212068e-06,0.39636844732733106,0.9409916628349599,0.13212281577577703
4.92615,0.00010311159404461758,3.6875880707351104e-05,-3.718651432676761e-05,1.1508373608131546e-05,2.523441886139133e-06,4.740752327911446e-06,6.155856084129243e-06,6.913946116183648e-06,1.7477042503651257,0.6263806410921497,0.5825680834550419
4.9301900000000005,0.00010484657978534688,4.949442817540462e-05,-4.5636625875840813e-05,1.3986425751188432e-05,2.7484278682073017e-06,5.176198731007189e-06,6.71703380485204e-06,7.520384652355552e-06,2.847324993849251,0.4157685162387118,0.9491083312830836
4.93692,0.00010670000600514304,3.6399104467309845e-05,-4.5779101260248975e-05,2.2180300421127666e-05,2.6499658565704367e-06,4.877413254950174e-06,6.4270464182898615e-06,7.214588555182149e-06,5.250697198931945,0.1543337580594515,1.7502323996439817
4.94675,0.00010731654680330183,4.022211656174377e-05,-5.423630532123128e-05,1.5673818124891852e-05,2.7031538683373247e-06,4.989157325177135e-06,6.491719686277233e-06,7.21293540539576e-06,4.196799160210908,0.24098254538386732,1.398933053403636
4.95027,0.0001116384259543771,4.9745652472191184e-05,-5.807865076316015e-05,1.5665391146926338e-05,2.9348934259275953e-06,5.447920901085905e-06,7.024160206065869e-06,7.852493743491637e-06,4.045603225842823,0.2565817247850066,1.3485344086142745
4.95676,0.00010813027095031856,3.9834852961593065e-05,-5.8232483784282174e-05,2.3230901054950996e-05,2.7698247797972972e-06,5.048306263326001e-06,6.621877563011693e-06,7.410751252807226e-06,3.075022189046954,0.38020224621945076,1.0250073963489845
4.961869999999999,0.0001117073621480649,4.7082717946762866e-05,-5.831093177548575e-05,1.1262087807007055e-05,2.8362167700331183e-06,5.301446046436795e-06,6.806176297257941e-06,7.66414839854717e-06,1.8564418834442789,0.602730235944688,0.618813961148093
4.96475,0.00011228362281198212,4.3703251332859965e-05,-6.309092441526598e-05,1.7931046019040725e-05,2.9013191082377663e-06,5.293616243511123e-06,6.988844704968519e-06,7.6691852500915e-06,1.04743971253642,0.7897750381072739,0.34914657084547335
4.96787,0.00011577445790933124,4.970502614363124e-05,-6.916544794361171e-05,1.525436160400508e-05,2.9966477028070207e-06,5.507832976414791e-06,7.074648190181348e-06,7.931747982801023e-06,2.144089837254788,0.5430447119474324,0.7146966124182627
4.97004,0.00012211602165085157,5.221245058673418e-05,-6.045005214368942e-05,1.818937259431956e-05,3.23553971098533e-06,5.995057043466759e-06,7.879565697895708e-06,8.737402954920351e-06,2.538603108860049,0.46835501489402376,0.8462010362866831
4.9728,0.00011586803371505231,4.527904238655064e-05,-6.18923809525619e-05,1.9140399333914687e-05,2.8852137603179184e-06,5.268902918382254e-06,6.866004215165222e-06,7.673862668110199e-06,4.234815216796664,0.23719925505405115,1.4116050722655549
4.97463,0.00011710972284684933,5.1068334886243634e-05,-6.909423502439549e-05,1.4855436205676363e-05,3.0384198939120665e-06,5.558402144105486e-06,7.325120010551081e-06,8.084578536174194e-06,1.2242909643962836,0.7471844240463138,0.40809698813209455
4.98471,0.00011849906518126326,4.941673051546286e-05,-6.72323634918255e-05,1.9483315107164858e-05,2.9820122132089793e-06,5.448968808643892e-06,7.106188661805082e-06,7.93622451348976e-06,1.6703742344042478,0.6435402409050741,0.5567914114680826
4.990069999999999,0.00012633050462195367,5.662652214257648e-05,-6.381365220863696e-05,2.0762205163657204e-05,3.257638669672943e-06,6.035801518888903e-06,7.854400017121083e-06,8.890797969839612e-06,6.892099659887293,0.07541761054915108,2.2973665532957646
4.994669999999999,0.00012170400211327873,5.5033641851598373e-05,-6.499399767549465e-05,1.8899604131597e-05,2.9930616222592934e-06,5.515250912611392e-06,7.132713626429382e-06,8.081796686640311e-06,3.4668169756865574,0.32509141802484764,1.155605658562186
5.00464,0.0001258690293536922,5.62146638375802e-05,-7.25696431885348e-05,2.1386368474755118e-05,3.0136689309892733e-06,5.529174556837209e-06,6.991100026884089e-06,8.06368106633853e-06,5.331051424950364,0.14910015385282205,1.7770171416501215
5.00999,0.00013559158824088014,5.8749342681394765e-05,-6.0065086523372534e-05,1.350005348898237e-05,3.3861663328255083e-06,6.34497269859566e-06,8.154316461933764e-06,9.207375451077322e-06,2.5787719491014034,0.4612232580699799,0.8595906497004678
5.01484,0.00014577697350505347,6.729428979687706e-05,-8.17599377247086e-05,2.1807601345915693e-05,3.5324043757759365e-06,6.496467141247649e-06,8.295958368459559e-06,9.423450555208273e-06,1.6378054599041052,0.650848387105611,0.5459351533013684
5.01774,0.0001640983869388854,6.879795731638544e-05,-9.08369632958326e-05,2.0863670711555123e-05,4.013360974558422e-06,7.383972282448092e-06,9.445610956002325e-06,1.0679154450302476e-05,3.062547851363697,0.3820817048257483,1.0208492837878989
5.01786,0.0001632425315991401,6.513750748551563e-05,-9.218746292334727e-05,1.9318017742186647e-05,3.974189259981239e-06,7.255853438042625e-06,9.329963752720083e-06,1.0488405447972319e-05,2.2072931827194093,0.5305132706685414,0.7357643942398031
5.019819999999999,0.00020128865414913364,8.21191482925492e-05,-0.00011845916567497325,1.1068958605025853e-05,5.031261710047502e-06,9.165563632707075e-06,1.1925606530616437e-05,1.3073829635061754e-05,0.4872827770295264,0.9216763144012169,0.16242759234317547
5.0248,0.0003208787821411209,0.00011381755033805426,-0.0001555918682319824,2.575276763235195e-05,8.095371670673945e-06,1.4990905664013996e-05,1.9456637322306913e-05,2.1458033489581497e-05,0.7274286868775162,0.866734260459533,0.24247622895917206
5.027830000000001,0.0004357650178603222,0.00016862481707346415,-0.00017577420422312787,2.57540270139158e-05,1.0688457512232313e-05,2.0083121945831732e-05,2.5929127433864447e-05,2.8993765161484193e-05,0.31322371481999856,0.9575225712269094,0.10440790493999952
5.0301,0.00043406450632570506,0.0001567000008831131,-0.0001752753938025052,4.8356356980947836e-05,1.0975294056059483e-05,2.054615956070651e-05,2.6611394297983112e-05,2.9816205666460886e-05,2.820849890235822,0.4200791450457282,0.940283296745274
5.032780000000001,0.0004094078891021697,0.0001605363401096391,-0.00018081232577998112,2.5006371026948095e-05,1.0199775877478905e-05,1.912415502367807e-05,2.4407904368313088e-05,2.718401807249037e-05,1.6902441446341294,0.6391049195121352,0.5634147148780432
5.0359,0.00040054556227489796,0.00014342613819902372,-0.00016188730155485174,3.19410550007744e-05,9.994484106927213e-06,1.864186591255001e-05,2.434484070273655e-05,2.6890219730154677e-05,1.5400292036313177,0.6730628989322724,0.5133430678771059
5.03871,0.0003944032397561195,0.0001474545437748469,-0.0001697796925056698,3.437908964326703e-05,9.941477954738414e-06,1.8572528944151328e-05,2.4131610367443457e-05,2.6734542882619974e-05,0.20809299424773622,0.976272357697068,0.06936433141591207
5.041980000000001,0.0003728242511029258,0.00014360968472463132,-0.00014347816472637674,6.917642187644155e-06,9.676745921330655e-06,1.840391262337869e-05,2.3700120724000028e-05,2.6000481112787706e-05,0.6338185522285888,0.8886485964079661,0.21127285074286295
5.04479,0.0003359159360769757,0.00013157108347598289,-0.00012391156548855205,1.0012167995940318e-05,8.656119991738276e-06,1.6547341377543275e-05,2.1094569645605542e-05,2.3421485669583595e-05,0.5671358582215844,0.9039128916939944,0.18904528607386148
5.04997,0.00025231715693602364,0.00011426981813545652,-9.387421903066526e-05,3.440717556749229e-05,6.888514315946578e-06,1.3240584716775732e-05,1.7057397339508883e-05,1.929201357386648e-05,1.6045080816470503,0.6583680749410876,0.5348360272156835
5.05484,0.0001814297651961169,7.8496849200333e-05,-9.729245450612774e-05,2.636535908773311e-05,4.9901185723270326e-06,9.26214788863046e-06,1.2132943088028578e-05,1.3391467087014065e-05,0.6153792025184152,0.8929028072814341,0.20512640083947173
5.0648800000000005,0.0003548228679479371,0.0001587394798811232,-0.00018666734427450567,2.3266709255555197e-05,8.463018124258181e-06,1.5619287723465053e-05,1.9833352260608833e-05,2.2298119069286822e-05,0.6505337900933256,0.8847724765432442,0.2168445966977752
5.06991,0.00034743183823321194,0.00014964633521862884,-0.00016040625085133591,4.5483516966771364e-05,8.335811149535487e-06,1.5504182572448888e-05,1.97845328552927e-05,2.2784891855166e-05,4.61023812044065,0.2026655611764775,1.5367460401468833
5.07448,0.00035456366643094023,0.00016232602239796393,-0.00019840480825791492,1.643556289449447e-05,8.253792163594118e-06,1.5149977757331627e-05,1.9065072245470644e-05,2.157196119645789e-05,0.4770796697177415,0.9238972697993094,0.1590265565725805
