Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,sig2,X2NDF,Linear,Offset,Q_int
run0174,det_h0-7,0.0470217,0.000712355,7117.68,107.829,139.253,1,0,0,11.2629,11,3.74179,-0.182871,11,151370
run0174,det_h1-0,0.047929,0.000753485,7255.01,114.055,139.253,1,0,0,10.0535,11,3.55288,-0.180437,11,151370
run0174,det_h1-1,0.0471307,0.000690256,7134.18,104.484,139.253,1,0,0,10.7779,11,5.8522,-0.137678,11,151370
run0174,det_h1-2,0.0243562,0.00048324,3686.8,73.148,139.253,1,0,0,13,11,5.36902,-0.128119,11,151370
run0174,det_h1-3,0.0400355,0.00063628,6060.17,96.3136,139.253,1,0,0,13,11,18.1957,-0.337562,11,151370
run0174,det_h1-4,0.063007,0.000777196,9537.37,117.644,139.253,1,0,0,11.0688,11,9.0399,-0.172555,11,151370
run0175,det_h0-0,0.0665474,0.00088707,7958.6,106.087,109.58,1,0,0,9.00999,11,2.09555,-0.141627,11,119593
run0175,det_h0-1,0.0688671,0.00101231,8236.03,121.065,109.58,1,0,0,10.749,11,6.03012,-0.221065,11,119593
run0175,det_h0-2,0.0285145,0.000630328,3410.14,75.3828,109.58,0,0,0,9.80385,11,1.37887,-0.104694,11,119593
run0175,det_h0-3,0.0518919,0.000869031,6205.9,103.93,109.58,1,0,0,10.445,11,1.62032,-0.155933,11,119593
run0175,det_h0-4,0.0514827,0.0008541,6156.97,102.144,109.58,1,0,0,11.1527,11,5.2911,-0.219132,11,119593
run0175,det_h0-5,0.0566981,0.000973262,6780.7,116.395,109.58,0,0,0,11.0468,11,1.33158,-0.188075,11,119593
run0175,det_h0-6,0.061043,0.00090615,7300.31,108.369,109.58,1,0,0,9.74416,11,1.41002,-0.179288,11,119593
run0175,det_h0-7,0.0520983,0.000865199,6230.59,103.472,109.58,1,0,0,11.5345,11,2.97249,-0.194833,11,119593
run0175,det_h1-0,0.0536436,0.000906909,6415.4,108.46,109.58,1,0,0,10.2115,11,3.23482,-0.176421,11,119593
