,a0,a1,a2,a3,a4,a5,a6
4.4549900000000004,0.0005936698378637568,0.0,5.149436381676051e-05,0.0,-3.822547961750964e-05,0.0,6.229955032020253e-05
4.46012,0.0009590470772537815,0.0,5.097864599249488e-05,0.0,-3.4332104426715385e-05,0.0,7.606206272448528e-05
4.4699599999999995,0.0010640603145339502,0.0,2.8269288717740105e-05,0.0,-3.229625900891164e-05,0.0,7.707972902416349e-05
4.4779800000000005,0.0008572227944811913,0.0,6.568814591745345e-05,0.0,-9.647716718638199e-06,0.0,3.9174014922243496e-05
4.48613,0.00044218160935667475,0.0,2.681313724880819e-05,0.0,-2.919498323593337e-05,0.0,3.637662611186041e-05
4.48819,0.00034129461723964255,0.0,2.2831123336165464e-05,0.0,-2.50667261917773e-05,0.0,3.102080845429159e-05
4.490069999999999,0.0004326207781339761,0.0,1.4648481114065927e-05,0.0,-1.7202517035882155e-05,0.0,5.2710814512002965e-05
4.49222,0.00019096215350752235,0.0,1.4571566372746777e-05,0.0,-1.6828719130665697e-06,0.0,9.853426225975387e-06
4.4949900000000005,0.00013689018210689778,0.0,7.132007999019504e-06,0.0,-2.8570152088653595e-07,0.0,1.6789373615007837e-06
4.499969999999999,7.896620587962126e-05,0.0,3.712545831043578e-06,0.0,-1.0659346027167986e-06,0.0,3.4877903893005375e-06
4.51021,4.230800282470934e-05,0.0,-3.468136951942189e-07,0.0,-2.0199290734223668e-08,0.0,3.6110574618444544e-06
4.51218,3.2263371439053776e-05,0.0,1.194805451764647e-06,0.0,-5.970847304065199e-07,0.0,4.254314932340148e-06
4.51508,3.153297325659821e-05,0.0,2.178023185574241e-06,0.0,-1.975113180424726e-06,0.0,4.558946627855728e-06
4.52007,3.836711805758437e-05,0.0,7.290586133038119e-07,0.0,-9.645761307124274e-07,0.0,1.8579154780834987e-06
4.52524,5.25386245235379e-05,0.0,6.300205923048392e-06,0.0,-9.497991244198294e-06,0.0,1.764088024592153e-05
4.5294099999999995,4.973397766296146e-05,0.0,7.40734387575095e-06,0.0,-1.3858954954196003e-05,0.0,1.697917052007378e-05
4.53506,9.838052587724334e-05,0.0,1.8157311321779536e-05,0.0,-3.91340318364099e-06,0.0,3.89720094394718e-06
4.54024,0.0001505846960545707,0.0,2.6710327639194733e-05,0.0,-3.687961941708409e-05,0.0,4.509561588459779e-05
4.5498,0.0003788872774578902,0.0,2.274006169481499e-05,0.0,-2.7845722814040404e-05,0.0,3.139752714928638e-05
4.56018,0.00096378043422957,0.0,4.9347885456993155e-05,0.0,-3.29513021940915e-05,0.0,8.664295904528297e-05
4.570130000000001,0.0009545367320377158,0.0,1.8093740753934362e-05,0.0,-2.0616740752146736e-05,0.0,7.577291323476006e-05
4.580030000000001,0.0005173864005123804,0.0,3.1918019868546636e-05,0.0,-2.4378524041979637e-05,0.0,4.147958391265093e-06
4.59008,0.00027417869584734646,0.0,2.5202100342943292e-05,0.0,-3.125144473033393e-05,0.0,2.40048559407077e-05
4.60027,0.00013513083288639341,0.0,2.0188801568127696e-05,0.0,-1.8931916552637683e-05,0.0,7.99385189151514e-06
4.60999,0.0001374265017176245,0.0,-4.963060893720978e-06,0.0,-1.5021570918727557e-05,0.0,8.373260083608448e-06
4.62023,9.158910571708001e-05,0.0,1.2246442717041086e-05,0.0,-4.003375350344512e-05,0.0,1.6165702441817094e-05
4.62994,8.742717140499267e-05,0.0,-3.624402216666386e-06,0.0,-2.5642292508139063e-06,0.0,-1.0996982469964394e-06
4.63517,5.299679995024004e-05,0.0,8.128579048009542e-06,0.0,-3.6205911285263184e-06,0.0,9.12181951859452e-06
4.639959999999999,6.41535043424962e-05,0.0,7.11866784712325e-07,0.0,-1.529976562841043e-06,0.0,6.820849037625725e-06
4.64996,0.000137070222982065,0.0,7.264292884938555e-07,0.0,-4.785801365557963e-06,0.0,1.3733689643026558e-05
4.67012,9.27418254282058e-05,0.0,5.274486202596592e-06,0.0,-4.134306100515113e-06,0.0,4.082529169944684e-07
4.68015,4.2099498468743364e-05,0.0,1.816775520881662e-06,0.0,4.585675720896521e-06,0.0,-1.7578990268570061e-06
4.68993,3.60215500816999e-05,0.0,-1.711013511135553e-07,0.0,-2.983424544723487e-06,0.0,1.1014191490125762e-06
4.71002,3.3359321477787794e-05,0.0,1.2647286368353624e-06,0.0,1.6622515084472288e-06,0.0,1.8575486082086421e-06
4.73,4.21709709041134e-05,0.0,3.4645088915196198e-06,0.0,2.4322911320654198e-06,0.0,-3.588590444810296e-06
4.75,7.721502312154774e-05,0.0,9.236555026251549e-07,0.0,-4.357035237240371e-06,0.0,7.962578241593623e-06
4.75518,0.0001772238423968516,0.0,7.703058044185907e-06,0.0,-3.582164653361628e-06,0.0,1.0266710917431441e-05
4.75888,0.00019962735670516,0.0,5.214375190481165e-07,0.0,-4.03355571512164e-06,0.0,1.0768474782103355e-05
4.77004,0.0002347441562200439,0.0,1.1493072496302049e-05,0.0,-1.3042901233368285e-05,0.0,2.5806528644358828e-05
4.77502,0.00024234242537227507,0.0,1.3490867059313353e-05,0.0,-2.1841156312322078e-06,0.0,-4.616772607116487e-07
4.7801800000000005,0.00021550582812446763,0.0,1.1476033220813161e-05,0.0,-1.1695668436485735e-05,0.0,5.2018524075426965e-06
4.79012,0.000187468760643102,0.0,7.186398618675027e-06,0.0,-5.333336412111863e-06,0.0,1.7792290072943535e-05
