,a0,a1,a2,a3,a4
4.63517,5.3452145909817177e-05,0.0,1.0628893278327977e-05,0.0,1.991977019926012e-07
4.639959999999999,6.451635218387212e-05,0.0,1.6746480805531017e-06,0.0,2.063767162105046e-06
4.64996,0.00013718810204693986,0.0,2.0674756687894922e-06,0.0,3.5643665789618625e-06
4.67012,9.275490968306816e-05,0.0,5.368522492382286e-06,0.0,-3.951035046447091e-06
4.68015,4.1976240905006385e-05,0.0,1.5845347798208568e-06,0.0,3.6785794894587317e-06
4.68993,3.6016822421478354e-05,0.0,7.066120435836996e-08,0.0,-2.3157310220888197e-06
4.71002,3.338280716013971e-05,0.0,1.6260896901362235e-06,0.0,2.53624011671295e-06
4.73,4.1917285321829984e-05,0.0,2.8789515464076114e-06,0.0,7.322246286898985e-07
4.75,7.714933096798421e-05,0.0,2.3140007151902287e-06,0.0,-6.939107871292872e-07
4.75518,0.00017719408974058536,0.0,9.984604492824257e-06,0.0,7.087954778396559e-07
4.75888,0.00019950594597958798,0.0,2.4153330126621874e-06,0.0,1.439273796342367e-06
4.77004,0.0002341927416494075,0.0,1.6823156486979612e-05,0.0,-2.442081703943738e-06
4.77502,0.000242332185273902,0.0,1.3394723300793548e-05,0.0,-2.393056191898989e-06
4.7801800000000005,0.00021569429761504925,0.0,1.2298221481988189e-05,0.0,-8.863261360958253e-06
4.79012,0.0001877600406017419,0.0,9.573167610275878e-06,0.0,4.667419355301045e-06
4.799919999999999,0.00014242316929352538,0.0,3.0599221554271186e-06,0.0,3.947440950886049e-06
4.81003,0.00013243119028117774,0.0,6.248346491896032e-06,0.0,-2.917112171479761e-06
4.8121599999999995,0.00012387200116778134,0.0,1.218337885834491e-05,0.0,-2.487565044043808e-06
4.81527,0.00012170425342503555,0.0,7.987970340383607e-06,0.0,-3.357751021064997e-06
4.82006,0.00012063630441641508,0.0,1.4423268611080726e-05,0.0,-2.0174684315005267e-06
4.82989,0.00012089362922850645,0.0,6.626193842776172e-06,0.0,7.395593919461799e-07
4.85003,0.00014247926177432478,0.0,7.2990622133023494e-06,0.0,3.6227079196206334e-06
4.86629,0.0001901483829373268,0.0,1.8919290056840572e-05,0.0,-1.1102815064496974e-06
4.88989,0.00031097368912829775,0.0,2.3523609127258797e-05,0.0,-1.4971338006104052e-07
4.89991,0.00047578419568433,0.0,3.0435179859093157e-05,0.0,-3.921170245228811e-06
4.9101300000000005,0.0006298113698913094,0.0,5.07860458537533e-05,0.0,-5.3839792091233355e-06
4.91996,0.000837935848207955,0.0,3.635634441087942e-05,0.0,-2.6464085003218646e-06
4.92615,0.0010438917183832228,0.0,7.894972020448166e-05,0.0,-2.4481009602556926e-06
4.9301900000000005,0.0011292389978188374,0.0,0.00010646319559223382,0.0,-4.64114898259637e-06
4.93692,0.0014082770820787593,0.0,0.00012106357992487463,0.0,-1.2349818122214844e-05
4.94675,0.0017272031629632018,0.0,0.00010245559917658763,0.0,-1.4549538592503996e-05
4.95027,0.0017465473769005808,0.0,0.00010812661955848549,0.0,-3.9006733663699975e-06
4.95676,0.001958533028021717,0.0,7.643902551582858e-05,0.0,5.287386673048407e-06
4.961869999999999,0.002000846134549071,0.0,0.00010111814257936839,0.0,-1.9531449087814303e-05
4.96475,0.0019876262049350977,0.0,9.506203243657375e-05,0.0,-2.859935899888723e-06
4.96787,0.0019550677406777127,0.0,0.00011017541043626758,0.0,-2.1078020968469315e-05
4.97004,0.001954308831622483,0.0,8.561842741361383e-05,0.0,4.389097294424867e-05
4.9728,0.0018569847505548335,0.0,0.00010947637165218981,0.0,-9.799899130759967e-06
4.97463,0.001812508268795422,0.0,9.46986476399019e-05,0.0,-2.6033075024320367e-05
4.98471,0.0014896658858581974,0.0,6.472609757650721e-05,0.0,-1.8370862408557814e-05
4.990069999999999,0.0013834526751899882,0.0,7.48658426902225e-05,0.0,2.4915224504111283e-05
4.994669999999999,0.0011655267778311238,0.0,8.65437513045783e-05,0.0,-1.6234098411778425e-05
5.00464,0.0009053344045268537,0.0,4.8443441441599e-05,0.0,-1.541849832033716e-05
5.00999,0.0008260507430800562,0.0,3.7960523010026796e-05,0.0,1.4122737174301683e-06
5.01484,0.0007125919794372235,0.0,5.904922197565908e-05,0.0,-1.043375835981685e-05
5.01774,0.0006783969833401183,0.0,3.620583612556451e-05,0.0,-1.604983539243385e-05
5.01786,0.000681427009063147,0.0,3.5215011442839176e-05,0.0,-1.590253688248741e-05
5.019819999999999,0.0006742729394924894,0.0,5.5483502699511254e-05,0.0,-4.8155973227926846e-05
5.0248,0.0006542398696463918,0.0,4.0675173573165755e-05,0.0,-3.750709558033959e-05
5.027830000000001,0.0006586742597760179,0.0,4.1515005598215676e-05,0.0,-3.477525612519028e-05
5.0301,0.000667553359482401,0.0,1.1950751326952305e-05,0.0,1.6054541963234235e-05
5.032780000000001,0.0007418598319450586,0.0,5.2939237068391606e-05,0.0,-3.3223894086322784e-05
5.0359,0.0008108423493391018,0.0,2.970810668332995e-05,0.0,-3.9213843343003646e-05
5.03871,0.0008502725911576902,0.0,3.544008755000893e-05,0.0,-4.6402901196222716e-05
5.041980000000001,0.0008619393701886261,0.0,5.2645462034256213e-05,0.0,-2.989343407776677e-05
5.04479,0.0008425675760586011,0.0,4.6616217148388825e-05,0.0,-5.7612661393920294e-05
5.04997,0.0007995639567340324,0.0,5.097720325260503e-05,0.0,-6.564623816924288e-06
5.05484,0.0006894937307238599,0.0,4.021675865165681e-05,0.0,-3.7864040376427206e-05
