Run,Detector,Yield,Yield err,Fit Status
run0176,det_h0-3,0.0643251,0.00130858,0
run0176,det_h0-4,0.0736164,0.00140278,0
run0176,det_h0-5,0.078238,0.00143068,0
run0176,det_h0-6,0.0857486,0.00149496,0
run0176,det_h0-7,0.0735738,0.00138947,0
run0176,det_h1-0,0.0713633,0.00137628,0
run0176,det_h1-1,0.063064,0.0013047,0
run0176,det_h1-2,0.0343109,0.000974215,0
run0176,det_h1-3,0.0700795,0.00134959,0
run0176,det_h1-4,0.0808292,0.00143256,0
run0177,det_h0-0,0.101098,0.00176526,0
run0177,det_h0-1,0.0977197,0.00171444,0
run0177,det_h0-2,0.0429274,0.00116562,0
run0177,det_h0-3,0.0825626,0.00163174,0
run0177,det_h0-4,0.0940345,0.00174189,0
run0177,det_h0-5,0.103612,0.00179268,0
run0177,det_h0-6,0.112216,0.00186728,0
run0177,det_h0-7,0.093594,0.00171599,0
run0177,det_h1-0,0.0912867,0.00171724,0
run0177,det_h1-1,0.0885376,0.00168319,0
run0177,det_h1-2,0.0465876,0.00121072,0
run0177,det_h1-3,0.0902537,0.0016938,0
run0177,det_h1-4,0.10601,0.00180154,0
run0178,det_h0-0,0.123143,0.0019019,0
run0178,det_h0-1,0.114432,0.00182064,0
run0178,det_h0-2,0.0499087,0.00122875,0
run0178,det_h0-3,0.100581,0.00176686,0
run0178,det_h0-4,0.115392,0.001885,0
run0178,det_h0-5,0.124719,0.00193581,0
run0178,det_h0-6,0.136677,0.00200635,0
run0178,det_h0-7,0.112662,0.00184315,0
run0178,det_h1-0,0.109958,0.00184783,0
run0178,det_h1-1,0.104888,0.00180265,0
run0178,det_h1-2,0.054601,0.00128223,0
run0178,det_h1-3,0.10236,0.00176619,0
run0178,det_h1-4,0.128256,0.00194739,0
run0179,det_h0-0,0.153158,0.00227018,0
run0179,det_h0-1,0.147269,0.00217713,0
run0179,det_h0-2,0.0647201,0.00145839,0
run0179,det_h0-3,0.124935,0.00212264,0
run0179,det_h0-4,0.144233,0.00223053,0
run0179,det_h0-5,0.155721,0.0022862,0
run0179,det_h0-6,0.17111,0.00237507,0
run0179,det_h0-7,0.14005,0.00217377,0
run0179,det_h1-0,0.139425,0.00220544,0
run0179,det_h1-1,0.130193,0.002147,0
run0179,det_h1-2,0.065591,0.00149007,0
run0179,det_h1-3,0.133535,0.00211903,0
run0179,det_h1-4,0.160029,0.00232545,0
run0180,det_h0-0,0.177446,0.00254355,0
run0180,det_h0-1,0.174619,0.00243955,0
run0180,det_h0-2,0.076122,0.00163464,0
run0180,det_h0-3,0.143333,0.00238364,0
run0180,det_h0-4,0.166152,0.00252734,0
run0180,det_h0-5,0.179454,0.0025702,0
run0180,det_h0-6,0.198026,0.00263853,0
run0180,det_h0-7,0.157927,0.00242089,0
run0180,det_h1-0,0.163346,0.00249413,0
run0180,det_h1-1,0.152761,0.00243939,0
run0180,det_h1-2,0.0765232,0.00166118,0
run0180,det_h1-3,0.156961,0.00238585,0
run0180,det_h1-4,0.185881,0.00261561,0
run0181,det_h0-0,0.189633,0.00246116,0
run0181,det_h0-1,0.181955,0.00231796,0
run0181,det_h0-2,0.0795849,0.00154127,0
run0181,det_h0-3,0.153505,0.00232015,0
run0181,det_h0-4,0.175289,0.00243416,0
run0181,det_h0-5,0.188969,0.00243722,0
run0181,det_h0-6,0.203291,0.0024843,0
run0181,det_h0-7,0.172872,0.00233687,0
run0181,det_h1-0,0.172126,0.00238893,0
run0181,det_h1-1,0.158252,0.00234174,0
run0181,det_h1-2,0.0821309,0.00159259,0
run0181,det_h1-3,0.16546,0.00227177,0
run0181,det_h1-4,0.196175,0.00251433,0
run0183,det_h0-0,0.220761,0.00368621,0
run0183,det_h0-1,0.208803,0.00344665,0
run0183,det_h0-2,0.0916441,0.0022952,0
run0183,det_h0-3,0.174454,0.00345207,0
run0183,det_h0-4,0.201568,0.00364994,0
run0183,det_h0-5,0.218735,0.00363675,0
run0183,det_h0-6,0.236018,0.00370059,0
run0183,det_h0-7,0.191171,0.00343106,0
run0183,det_h1-0,0.196928,0.00357234,0
run0183,det_h1-1,0.190917,0.00353332,0
run0183,det_h1-2,0.0935344,0.00235245,0
run0183,det_h1-3,0.202583,0.0034188,0
run0183,det_h1-4,0.226564,0.00375608,0
run0184,det_h0-0,0.242229,0.00336088,0
run0184,det_h0-1,0.229972,0.00313164,0
run0184,det_h0-2,0.0988463,0.00204931,0
run0184,det_h0-3,0.194695,0.00316261,0
run0184,det_h0-4,0.223743,0.00330219,0
run0184,det_h0-5,0.231155,0.00327227,0
run0184,det_h0-6,0.255578,0.00334498,0
run0184,det_h0-7,0.208599,0.00311932,0
run0184,det_h1-0,0.209894,0.00322265,0
run0184,det_h1-1,0.193879,0.00315276,0
run0184,det_h1-2,0.107299,0.00215473,0
run0184,det_h1-3,0.206296,0.00306006,0
run0184,det_h1-4,0.245068,0.00339177,0
run0185,det_h0-0,0.238525,0.00435651,0
run0185,det_h0-1,0.235329,0.00414214,0
run0185,det_h0-2,0.0955728,0.00267135,0
run0185,det_h0-3,0.196493,0.00417049,0
run0185,det_h0-4,0.230002,0.00438191,0
run0185,det_h0-5,0.263228,0.00449949,0
run0185,det_h0-6,0.255999,0.00436637,0
run0185,det_h0-7,0.226038,0.00424956,0
run0185,det_h1-0,0.215943,0.00427499,0
run0185,det_h1-1,0.210382,0.00428825,0
run0185,det_h1-2,0.111044,0.00287124,0
run0185,det_h1-3,0.193303,0.00394057,0
run0185,det_h1-4,0.248259,0.00446976,0
run0186,det_h0-0,0.2124,0.00396562,0
run0186,det_h0-1,0.195913,0.00365902,0
run0186,det_h0-2,0.0904072,0.00246253,0
