,a0,a1,a2
4.64996,0.00024486717869625903,0.0,6.808629095301559e-06
4.67012,0.00026206898386186645,0.0,5.567873756096788e-06
4.68015,0.00016491722550400213,0.0,8.293980636339147e-06
4.68993,0.00011765732674579535,0.0,4.881568518048196e-06
4.71002,9.57251391972232e-05,0.0,9.53809556009394e-06
4.73,0.00010535870031896087,0.0,1.0696637589584606e-05
4.75,0.00018156515448491302,0.0,3.884828441152852e-06
4.75518,0.00040441617458271054,0.0,-2.6255344572371166e-07
4.75888,0.00040345732476503997,0.0,2.8885566227505544e-06
4.77004,0.0003731087830472022,0.0,2.095166437401478e-06
4.77502,0.0002751263112229981,0.0,2.4402019250289006e-05
4.7801800000000005,0.00017847685766115269,0.0,4.5717525334011165e-05
4.79012,0.0002753707066899114,0.0,9.017334892556405e-05
4.799919999999999,0.0005876979566842102,0.0,0.00019026840256409507
4.81003,0.0005134879805489194,0.0,0.0001886631324511152
4.8121599999999995,0.00034084554998011055,0.0,0.00013189886625185543
4.81527,0.00021401281814468538,0.0,8.342663521892923e-05
4.82006,0.00010400981694803698,0.0,4.314723020076477e-05
4.82989,7.566469718617797e-05,0.0,2.320310437052748e-05
4.85003,8.05067939230708e-05,0.0,1.5803902753100234e-05
4.86629,8.643630475130223e-05,0.0,1.4354929215242535e-05
4.88989,9.367447161987778e-05,0.0,2.114466219523344e-05
4.89991,9.821649323855381e-05,0.0,2.6016006118490337e-05
4.9101300000000005,9.896760524617687e-05,0.0,3.134680159276882e-05
4.91996,9.795875128591815e-05,0.0,2.5377600068206067e-05
4.92615,0.00010419264090001682,0.0,2.086370562821989e-05
4.9301900000000005,0.00010733397643974928,0.0,2.8401370749015213e-05
4.93692,0.00010839504769124645,0.0,2.1059777091988142e-05
4.94675,0.00010960722402021085,0.0,1.7728956428648205e-05
4.95027,0.00011547693655962586,0.0,2.3111968109901465e-05
4.95676,0.00011076808648905333,0.0,1.664384352752206e-05
4.961869999999999,0.00011431792827483526,0.0,2.0204738716776028e-05
4.96475,0.00011541543927181877,0.0,1.6412012715926678e-05
4.96787,0.00012017428729482723,0.0,1.7418207717329622e-05
4.97004,0.00012524038209652034,0.0,2.598744607634738e-05
4.9728,0.00012010095057787339,0.0,1.793048952259443e-05
4.97463,0.00012148311667774285,0.0,1.8924878324242625e-05
4.98471,0.00012277284715488885,0.0,1.8777122380551727e-05
4.990069999999999,0.00013086632554747455,0.0,2.9029233154205912e-05
4.994669999999999,0.00012709578013147678,0.0,2.347737489626696e-05
5.00464,0.0001326411439130744,0.0,2.059252954474692e-05
5.00999,0.0001391293339581224,0.0,2.959338290811668e-05
5.01484,0.00015300498256741652,0.0,2.525465944363318e-05
5.01774,0.0001702240913468267,0.0,2.5730617721573927e-05
5.01786,0.0001699085612571077,0.0,2.117966073990742e-05
5.019819999999999,0.0002102655214276927,0.0,2.4479696695508502e-05
5.0248,0.00032560033755251393,0.0,4.497539294330415e-05
5.027830000000001,0.0004421038540457741,0.0,8.1646413090494e-05
5.0301,0.000438439145291646,0.0,8.372541826250889e-05
5.032780000000001,0.0004176997501478883,0.0,7.2475706132651e-05
5.0359,0.00040577936365809484,0.0,6.996463660547952e-05
5.03871,0.0003989624818094504,0.0,7.01400462371423e-05
5.041980000000001,0.00037496722197935116,0.0,7.471092495651636e-05
5.04479,0.0003372926712932412,0.0,7.214650568818064e-05
5.04997,0.0002528408546289955,0.0,7.726293624525371e-05
5.05484,0.0001850481573729664,0.0,3.6330474511895386e-05
